order_id,customer_id,product_id,quantity,order_date,status
O001,C001,P001,1,2024-01-05 10:30:00,completed
O002,C002,P005,1,2024-01-08 14:45:00,completed
O003,C003,P003,2,2024-01-10 09:15:00,completed
O004,C001,P008,1,2024-01-12 16:20:00,shipped
O005,C004,P002,1,2024-01-15 11:00:00,completed
O006,C005,P010,2,2024-01-18 13:30:00,completed
O007,C006,P007,1,2024-01-20 08:45:00,shipped
O008,C002,P012,1,2024-01-22 15:10:00,completed
O009,C007,P001,1,2024-01-25 10:20:00,completed
O010,C008,P015,1,2024-01-28 12:00:00,pending
O011,C003,P004,1,2024-02-01 09:30:00,completed
O012,C009,P006,3,2024-02-05 14:15:00,completed
O013,C010,P009,2,2024-02-08 11:45:00,shipped
O014,C004,P011,1,2024-02-10 16:30:00,completed
O015,C011,P003,4,2024-02-12 08:00:00,completed
O016,C012,P013,1,2024-02-15 10:45:00,completed
O017,C001,P005,1,2024-02-18 13:20:00,shipped
O018,C013,P002,1,2024-02-20 09:00:00,pending
O019,C014,P014,2,2024-02-22 15:30:00,completed
O020,C005,P001,1,2024-02-25 11:15:00,completed
O021,C015,P010,1,2024-02-28 14:00:00,completed
O022,C002,P007,2,2024-03-02 10:30:00,shipped
O023,C008,P012,1,2024-03-05 16:45:00,completed
O024,C006,P015,1,2024-03-08 08:30:00,completed
O025,C011,P004,1,2024-03-10 12:15:00,pending
